country_abbrev,party_id,party_abbrev,party_name,party_name_english
BE, 102, PS,Parti Socialiste,Socialist Party
,103, SPA,Socialistische Partij Anders,Socialist Party Differently
,104, ECOLO,Ecolo,Ecolo
,105, Groen,Groen,Green
,106, MR,Mouvement Réformateur,Reformist Movement
,107, VLD,Open Vlaamse Liberalen en Democraten,Open Flemish Liberals and Democrats
,108, cdH,Centre Démocrate Humaniste,Humanist Democratic Centre
,109, CD&V,Christen-Democratisch en Vlaams,Christian Democratic and Flemish
,110, NVA,Nieuw-Vlaamse Alliantie,New Flemish Alliance
,112, VB,Vlaams Belang,Flemish Interest
,119, PVDA-PTB,Partij van de Arbeid van België; Parti du Travail de Belgique,Workers’ Party of Belgium
DK, 201, SD,Socialdemokraterne,Social Democracy
,202, RV,Det Radikale Venstre,Radical Left-Social Liberal Party
,203, KF,Det Konservative Folkeparti,Conservative People’s Party
,206, SF,Socialistisk Folkeparti,Socialist People’s Party
,211, V,"Venstre, Danmarks Liberale Parti","Venstre, Liberal Party of Denmark"
,213, EL,Enhedslisten—De Rød-Grønne,Unity List/Red-Green Alliance
,215, DF,Dansk Folkeparti,Danish People’s Party
,218, LA,Liberal Alliance,Liberal Alliance
,219, A,Alternativet,The Alternative
,220, NB,Nye Borgerlige,The New Right
GE, 301, CDU,Christlich Demokratische Union Deutschlands,Christian Democratic Union of Germany
,302, SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany
,303, FDP,Freie Demokratische Partei,Free Democratic Party
,304, Grunen,Bündnis 90/Die Grünen,Alliance ’90/The Greens
,306, Linke,Die Linke,The Left
,308, CSU,Christlich Soziale Union in Bayern,Christian Social Union in Bavaria
,310, AfD,Alternative für Deutschland,Alternative for Germany
,311, Piraten,Piratenpartei Deutschland,Pirate Party of Germany
,312, DieTier,Mensch Umwelt Tierschutz,Human Environment Animal Protection
GR, 401, PASOK, Panellinio Sosialistikó Kínima,Panhellenic Socialist Movement
,402, ND, Néa Dimokratía,New Democracy
,403, SYRIZA, Synaspismós Rizospastikís Aristerás,Coalition of the Radical Left
,404, KKE, Kommounistikó Kómma Elládas,Communist Party of Greece
,415, XA ,Laïkós Sýndesmos—Chrysí Avgí,Popular Association—Golden Dawn
,416, EL ,Elliniki Lisi,Greek Solution
,417, MR25, Métopo Evropaikís Realistikís Anypakoís,European Realistic Disobedience Front [MeRa25]
,418, KIDISO, Kinima Dimokraton Sosialiston,Movement of Democratic Socialists
ESP, 501, PSOE, Partido Socialista Obrero Español,Spanish Socialist Workers’ Party
,502, PPP, Partido Popular,People’s Party
,504, IU, Izquierda Unida,United Left
,506, PNV, Partido Nacionalista Vasco,Basque Nationalist Party
,511, ERC, Esquerra Republicana de Catalunya,Republican Left of Catalonia
,513, BNG, Bloque Nacionalista Galego,Galician Nationalist Bloc
